time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
2.78,27.2,87306,1238.39,299.8,134.12,26,9.05,9.03,9.07
2.79,27.28,87294,1239.52,300.92,134.39,26,9.07,9.03,9.08
2.8,27.37,87279,1240.93,302.33,134.66,26,9.07,9.03,9.08
2.81,27.46,87267,1242.05,303.46,134.93,26,9.07,9.03,9.08
2.82,27.55,87255,1243.18,304.59,135.2,26,9.07,9.03,9.07
2.83,27.64,87235,1245.06,306.47,135.47,26,9.07,9.03,9.07
2.84,27.74,87223,1246.19,307.59,135.75,26,9.05,9.03,9.07
2.85,27.83,87217,1246.75,308.16,136.02,26,9.07,9.03,9.07
2.86,27.93,87201,1248.26,309.66,136.29,26,9.02,9.03,9.07
2.87,28.03,87201,1248.26,309.66,136.57,26,9.05,9.03,9.08
2.88,28.14,87177,1250.51,311.92,136.85,26,9.05,9.03,9.07
2.89,28.24,87152,1252.86,314.27,137.12,26,9.07,9.03,9.08
2.9,28.35,87142,1253.8,315.21,137.4,26,9.07,9.03,9.08
2.91,28.46,87124,1255.5,316.9,137.68,26,9.07,9.03,9.07
2.92,28.57,87111,1256.72,318.13,137.96,26,9.07,9.03,9.08
2.93,28.69,87090,1258.7,320.1,138.24,26,9.07,9.03,9.08
2.94,28.81,87075,1260.11,321.51,138.53,26,9.07,9.03,9.08
2.95,28.93,87058,1261.71,323.11,138.81,26,9.07,9.03,9.07
2.96,29.05,87050,1262.46,323.87,139.1,26,9.07,9.03,9.07
2.97,29.18,87026,1264.72,326.13,139.38,26,9.02,9.03,9.07
2.98,29.31,87026,1264.72,326.13,139.67,26,9.05,9.03,9.08
2.99,29.44,87001,1267.07,328.48,139.96,26,9.05,9.03,9.07
3,29.57,86984,1268.67,330.08,140.25,26,9.07,9.03,9.08
3.01,29.71,86968,1270.18,331.59,140.54,26,9.07,9.03,9.08
3.02,29.85,86960,1270.94,332.34,140.84,26,9.07,9.03,9.08
3.03,30,86952,1271.69,333.09,141.13,26,9.07,9.03,9.08
3.04,30.15,86935,1273.29,334.7,141.43,26,9.07,9.03,9.08
3.05,30.3,86916,1275.08,336.49,141.72,26,9.07,9.05,9.08
3.06,30.45,86899,1276.68,338.09,142.02,26,9.07,9.03,9.08
3.07,30.61,86884,1278.1,339.5,142.32,26,9.07,9.03,9.07
3.08,30.78,86859,1280.46,341.86,142.62,26,9.02,9.03,9.08
3.09,30.94,86859,1280.46,341.86,142.92,26,9.05,9.03,9.08
3.1,31.11,86837,1282.53,343.94,143.23,26,9.05,9.02,9.07
3.11,31.29,86802,1285.83,347.24,143.53,26,9.07,9.05,9.07
3.12,31.47,86785,1287.44,348.84,143.84,26,9.07,9.05,9.08
3.13,31.65,86766,1289.23,350.63,144.15,26,9.07,9.03,9.07
3.14,31.84,86746,1291.12,352.52,144.46,26,9.07,9.03,9.07
3.15,32.03,86716,1293.95,355.36,144.77,26,9.05,9.03,9.08
3.16,32.22,86698,1295.65,357.05,145.08,26,9.05,9.03,9.08
3.17,32.42,86680,1297.35,358.76,145.4,26,9.07,9.03,9.08
3.18,32.63,86663,1298.96,360.36,145.72,26,9.05,9.03,9.08
3.19,32.84,86646,1300.56,361.97,146.03,26,9.02,9.02,9.07
3.2,33.05,86646,1300.56,361.97,146.36,26,9.05,9.03,9.08
3.21,33.27,86620,1303.02,364.42,146.68,26,9.05,9.02,9.07
3.22,33.49,86586,1306.23,367.64,147,26,9.07,9.03,9.07
3.23,33.72,86573,1307.46,368.87,147.33,26,9.05,9.03,9.07
3.24,33.95,86558,1308.88,370.29,147.66,26,9.07,9.03,9.07
3.25,34.19,86549,1309.73,371.14,147.99,26,9.05,9.03,9.07
3.26,34.43,86533,1311.24,372.65,148.32,26,9.05,9.03,9.07
3.27,34.67,86520,1312.47,373.88,148.65,26,9.07,9.03,9.07
3.28,34.92,86508,1313.61,375.01,148.99,26,9.07,9.05,9.08
3.29,35.18,86493,1315.03,376.43,149.32,26,9.07,9.03,9.08
3.3,35.44,86475,1316.73,378.14,149.66,26,9.02,9.03,9.08
3.31,35.71,86475,1316.73,378.14,150.01,26,9.07,9.03,9.08
